nome,nome_pesquisa,nome_social,nome_social_pesquisa,nascimento,cpf,rg,data_emissao,orgao_emissor,uf_emissao,filiacao,escolaridade,email,telefone,celular,cep,rua,numero,complemento,bairro,cidade,uf,pcd,ps,ja_sorteado,id_turma
Juliana Cunha,JULIANA CUNHA,,,1946-04-24,08342882063,432537122,2001-12-25,OAB,RJ,Sara Oliveira,2,nina62@example.com,+55 41 5175 6900,+55 69 94173-5055,44550-471,Loteamento Isadora Sampaio,43,,Nossa Senhora Do Rosário,Rezende do Sul,PR,False,False,False,1
Arthur Macedo,ARTHUR MACEDO,,,1972-12-17,28507123023,277623601,1995-03-22,DETRAN,RS,Mariana Mendes,3,apollo23@example.org,61 4524 0658,+55 (058) 93942 9926,97769116,Lagoa da Rocha,59,,Vila Minaslandia,Alves de Peixoto,MG,False,False,False,1
Ana Beatriz Camargo,ANA BEATRIZ CAMARGO,,,1972-07-16,10393113698,685466181,1998-01-20,SSP,RS,Igor da Costa,4,gaelsousa@example.net,(061) 6741 0300,+55 92 91519-3291,03545-983,Quadra Pastor,439,,Santa Cruz,Jesus das Pedras,SP,False,True,False,1
Milena Viana,MILENA VIANA,,,2009-10-04,79022852180,274982370,1998-10-23,DETRAN,PR,Luiz Henrique Campos,2,leoalves@example.com,+55 (051) 9690 8242,+55 84 9 2373-5775,20133-119,Morro de Almeida,370,,Acaiaca,Lima,RS,False,False,False,1
Breno Macedo,BRENO MACEDO,,,2006-02-27,54898542603,823329651,1995-01-01,DETRAN,RS,Hadassa Teixeira,2,silvanina@example.org,+55 (021) 6831-1728,+55 (066) 97929 6838,46536351,Avenida Davi Cardoso,24,,Conjunto Lagoa,Costela Grande,PR,False,False,False,1
Igor Martins,IGOR MARTINS,,,1964-02-05,29953800332,603742120,2005-07-24,SSP,MG,Dra. Esther Pimenta,5,ocampos@example.net,84 2794 5425,+55 23 97771 7951,91186592,Morro Oliveira,14,,São Tomaz,das Neves de Pires,RJ,True,False,False,1
Ana Júlia da Mota,ANA JÚLIA DA MOTA,,,1960-11-26,94705176448,,,,,Mariah Garcia,3,aparecidakamilly@example.net,+55 21 5366-2399,+55 (06) 9 7488-5641,68178919,Viela de Melo,2,,Boa Esperança,Sampaio,MG,False,False,False,1
Miguel das Neves,MIGUEL DAS NEVES,Dra. Isis Silva,DRA. ISIS SILVA,1960-07-19,44743131863,760551692,1996-05-20,DETRAN,RJ,Olivia Ramos,4,freitasjoana@example.org,(021) 7222 5169,+55 21 92892 3501,56650424,Passarela Luísa Rocha,51,,Monte São José,Pinto Grande,PR,False,False,False,1
Elisa Aparecida,ELISA APARECIDA,,,2003-07-08,07252593533,700112928,2002-05-05,SSP,SP,Dra. Eduarda da Rosa,3,gviana@example.com,+55 (021) 3096 9873,+55 (78) 93687 8360,73061281,Lagoa Eloá Nunes,8,,Senhor Dos Passos,Pimenta dos Dourados,MG,True,False,False,1
Kaique Pires,KAIQUE PIRES,,,1985-12-09,21834027250,541004975,1995-08-21,SSP,MG,Calebe Leão,7,limamarcela@example.org,+55 (011) 1375-8590,+55 (68) 99176 4165,86731-155,Aeroporto Pedro Miguel da Mota,730,,Vila Rica,Novais da Serra,RJ,False,True,False,1
Vinícius da Cruz,VINÍCIUS DA CRUZ,Igor Garcia,IGOR GARCIA,2010-06-28,41639344055,705432315,1998-01-05,DETRAN,SP,Marcela Camargo,2,diegobarros@example.net,11 9109 6713,+55 (18) 93698-1743,01332499,Pátio Murilo Costela,61,,Manacas,Pimenta das Flores,MG,False,False,False,1
Maria Vitória Machado,MARIA VITÓRIA MACHADO,,,1958-01-16,74190998559,579162713,2003-02-14,OAB,RJ,Maria Sophia Fonseca,3,caldeirakaique@example.org,+55 (071) 7524-2572,+55 83 93923 6364,87303-119,Colônia de Camargo,55,,Conjunto Capitão Eduardo,Gomes,RJ,False,False,False,1
Diogo da Rosa,DIOGO DA ROSA,,,2005-10-02,51660871786,,,,,Dante Oliveira,6,wmacedo@example.net,84 1133-4601,+55 49 9 2273-7955,15831876,Jardim de Albuquerque,89,,Concórdia,da Conceição,PR,False,False,False,1
Ana Laura Moraes,ANA LAURA MORAES,,,1997-09-19,01677786094,463870314,1996-09-08,DETRAN,SP,Augusto Azevedo,5,hpastor@example.com,(031) 7039 0118,+55 81 96248 1632,99537994,Travessa Enzo Santos,92,,Granja De Freitas,da Rocha,MG,False,False,False,1
Milena Gomes,MILENA GOMES,,,1989-06-25,03241016439,,,,,Evelyn Cassiano,2,pietravasconcelos@example.com,0300-411-5908,+55 (028) 99200 4414,39927-831,Lagoa de da Conceição,49,,Heliopolis,Melo,RJ,False,False,False,1
Cecilia Dias,CECILIA DIAS,,,1963-06-29,43452304540,994805177,1996-06-22,DETRAN,RS,Ana Liz Mendonça,7,dmendes@example.org,(081) 8129-9791,+55 (14) 99676 0079,60046-213,Distrito de Sousa,73,,São Bernardo,Silva,RJ,False,False,False,1
Nathan Sales,NATHAN SALES,Nicolas Castro,NICOLAS CASTRO,1986-09-06,87601457303,397282518,1996-12-06,DETRAN,MG,Marcelo Mendes,4,anthony-gabrielcamara@example.org,61 6408-7287,+55 (81) 9 7736 6568,21588-982,Viela de Gonçalves,92,,Serra Verde,da Rosa do Sul,MG,False,False,False,1
Gabrielly da Rosa,GABRIELLY DA ROSA,,,1949-01-29,78170552206,730390062,1997-03-07,DETRAN,SP,Yuri Sá,7,yribeiro@example.org,+55 (041) 2865 7917,+55 (060) 97365-8214,34443-596,Largo de Cavalcanti,377,,Dom Cabral,Machado da Serra,PR,False,False,False,1
